hx,hz,chi,D,ξv,ξh,ξ_vumps
0.0,0.25,16,4,0.8441055752941707,0.8441055752941434,0.844105575500713
0.0,0.25,24,4,0.8520192029541948,0.8520192029177609,0.8520187476354741
0.0,0.25,36,4,0.8467868797793182,0.846786879782572,0.8467868858221639
0.0,0.26,16,4,0.8880605285217115,0.8880605285216863,0.8880605301726544
0.0,0.26,24,4,0.8962816470585067,0.8962816472136309,0.896281716128317
0.0,0.26,36,4,2.7294543196184772e14,2.309538270446403e14,0.9153645289185206
0.0,0.27,16,4,0.9563236190774888,0.9563236190774456,0.9563236188261292
0.0,0.27,24,4,0.9568081685362472,0.9568081684411912,0.9568081635897225
0.0,0.27,36,4,0.9591731253941608,0.959173125503992,0.9591773220341148
0.0,0.28,16,4,4.13916413539132,4.139164139204716,4.0543085384748485
0.0,0.28,24,4,0.8381465247214328,0.8379137706852469,0.8381465247245615
0.0,0.28,36,4,1.0417690724564972,1.041769073393396,1.0417236715284268
0.0,0.29,16,4,1.1059332681760574,1.1059332681763308,1.1059332681064293
0.0,0.29,24,4,1.1194445518308458,1.1194445518339653,1.1194445519255372
0.0,0.31,16,4,6.004799503160656e14,6.92861481133922e14,1.286742750677284e15
0.0,0.31,24,4,1.3576382713973223,1.35763827136233,1.3576382724544371
0.0,0.31,36,4,9.582126866745686e13,2.047090739713857e14,1.367000745164959
0.0,0.32,16,4,3.976874416040292,3.9768744149136173,3.8945796622644386
0.0,0.32,24,4,1.5309010860020493,1.5309010860100682,1.5309010860370873
0.0,0.32,36,4,7.078046843815375,7.078046847685281,7.083593387254062
0.0,0.33,16,4,1.793130466364233,1.7931304663649321,1.7931304663391252
0.0,0.33,24,4,0.6476854051014529,0.6476854051011505,0.6476854048629876
0.0,0.33,36,4,0.9265998214015307,0.9265998213969071,0.9265998213234059
0.0,0.34,16,4,2.2481631997605054,2.2481631997612057,2.248163190697424
0.0,0.34,24,4,2.2672105840896872,2.2672105840663526,2.2672105809760468
0.0,0.34,36,4,3.602879701896392e14,2.4343781769570197e14,0.8917766917352592
0.0,0.35,16,4,3.6777514164510854,3.677751416406717,3.6777514169662893
0.0,0.35,24,4,3.8106442203706474,3.8106442203417905,3.8106442208103517
0.0,0.35,36,4,3.260860669840881,3.260860669799674,3.260860670140695
0.0,0.36,16,4,4.094181479427718e14,8.188362958855442e14,4.0572969615949914e13
0.0,0.36,24,4,0.8220654889076784,0.8220654891251971,0.8220694302695821
0.0,0.37,16,4,0.758523062816367,0.7585230628163306,0.7585230628557436
0.0,0.37,24,4,1.2009599006321272e14,1.9580867945089062e14,1.3647271598092362e14
0.0,0.37,36,4,4.74063118670578e14,4.74063118670578e14,0.7659974169221637
0.0,0.38,16,4,0.694770157617657,0.6947701576175916,0.6947701576108848
0.0,0.38,24,4,9.007199254740992e15,1.6994715574982953e14,4.503599627370491e14
0.0,0.38,36,4,1.000799917193443e15,3.216856876693206e14,0.6999638011255724
0.0,0.39,16,4,0.6484034861789644,0.648403486180585,0.6484034960708769
0.0,0.39,24,4,2.2517998136852475e15,1.286742750677284e15,1.0015890143836896
0.0,0.39,36,4,7.505999378950821e14,7.764826943742184e13,0.6447684168670147
0.0,0.41,16,4,0.582760409114076,0.5827604091138695,0.5827604084833207
0.0,0.41,24,4,1.286742750677284e15,1.6679998619890675e14,6.433713753386418e14
0.0,0.42,16,4,263.5585123867824,7321.24245747248,1.2431728926795629
0.0,0.42,24,4,3.9161735890178175e14,1.5011998757901603e14,5.629499534213115e14
0.0,0.42,36,4,7.505999378950821e14,3.464307405669607e14,0.5533503080700337
0.0,0.43,16,4,0.9016614598947333,0.9017539454592796,0.9017539454587861
0.0,0.43,24,4,0.5482812443693772,0.5482812444464233,0.5482810483449486
0.0,0.43,36,4,-Inf,4.094181479427718e14,0.552819376432125
0.0,0.44,16,4,4.28914250225761e14,6.004799503160656e14,1.3647271598092362e14
0.0,0.44,24,4,0.5047071275594125,0.5047071269873035,0.5047077019869173
0.0,0.44,36,4,2.814749767106555e14,4.74063118670578e14,2.2517998136852475e15
0.0,0.45,16,4,0.475543865446444,0.4755438654451516,0.4755438528348073
0.0,0.45,36,4,4.503599627370491e14,4.503599627370496e15,0.4841657549352022
0.1,0.1,36,4,0.3792487990777655,0.3792487997453383,0.37924894052077346
0.1,0.25,16,4,0.8430875091214802,0.843087509121433,0.843087509150733
0.1,0.26,16,4,0.8877112215689485,0.8877112215688835,0.887711221605559
0.1,0.27,16,4,0.9449922850268926,0.9449922850269921,0.9449922846491453
0.1,0.28,16,4,1.012864053238555,1.0128640532385438,1.0128640530449982
0.1,0.29,16,4,1.1101182717434304,1.1101182717434144,1.1101182718156133
0.1,0.2,36,4,2.9055481466906375e14,2.196877867009993e14,0.6563730459381187
