hx,hz,chi,D,E,ξv,ξh,infinite_tHooft,infinite_Wilson
0.1,0.25,16,4,-2.0384278143354804,0.843087509118991,0.8430875091177643,0.05707273900889706 + 5.247026115231144e-14im,0.9987257317249194 + 6.144943558232305e-16im
0.1,0.26,16,4,-2.041390655637898,0.8877112215414513,0.8877112215427769,0.05704068527189285 + 3.5565158729523515e-14im,0.9987263367655255 + 3.9861335556154765e-16im
0.1,0.27,16,4,-2.044519418819183,0.9449922851102236,0.9449922851098391,0.05686590664763121 - 4.9640051232145616e-14im,0.9987309045778149 - 1.4175765298740853e-15im
0.1,0.28,16,4,-2.0478247301706785,1.012864053264379,1.0128640532683328,0.056690011367431264 + 5.227403744049661e-14im,0.9987336724102324 + 3.506751852167678e-16im
0.1,0.29,16,4,-2.051322564235249,1.1101182718219025,1.1101182718279607,0.05653157739760182 + 7.838124707221223e-14im,0.9987377347833625 - 2.812620770555158e-16im
0.1,0.31,16,4,-2.0589551742031262,1.3228172464387924,1.3228172464242431,0.05612680409596247 - 5.570935734524378e-14im,0.9987460536950888 - 3.244092734890122e-16im
0.1,0.32,16,4,-2.063136918128554,1.5016341883494542,1.5016341883197648,0.0558837280052476 - 1.0474472652434794e-13im,0.9987520535478146 + 7.720912468042219e-16im
0.1,0.33,16,4,-2.0678413608281874,1.3414097357043555,1.34140973572888,0.05481587399304805 + 2.848354166392042e-14im,0.9987749406354145 - 1.69673758166972e-16im
0.1,0.34,16,4,-2.0738684094821656,1.0896174551672815,1.089617455155806,0.053495332197887525 - 2.8531759004000076e-15im,0.9988032404269681 + 1.3908026324341163e-15im
0.1,0.35,16,4,-2.081033051453714,0.9522409733468381,0.9522409733386283,0.052316149202153245 - 9.800938657061665e-15im,0.9988294878430667 - 1.1989766373988823e-15im
0.1,0.36,16,4,-2.0891493072708287,0.8493900554327428,0.8493900554295001,0.05136132919035582 - 7.244100630179164e-15im,0.9988513045563242 + 9.515823388135604e-16im
0.1,0.37,16,4,-2.098085428219986,0.7742221958010606,0.7742221957974244,0.05052036829926413 - 1.02156532748645e-15im,0.9988711719806942 + 1.2319502111235558e-15im
0.1,0.38,16,4,-2.1077396903420853,0.733369918747875,0.7333699187449034,0.04974311585291914 + 5.9950153164107635e-15im,0.998890400918538 + 1.6014731944658983e-16im
0.1,0.39,16,4,-2.1180356829357003,0.6767832532562599,0.6767832532593012,0.04904998613432292 + 1.2248219179272728e-15im,0.9989087469077241 - 4.587036006688833e-16im
0.1,0.3,16,4,-2.055027871360922,1.2116176061668558,1.2116176061617636,0.05634148665723928 + 4.9966257578939546e-14im,0.9987415523379278 - 1.2104878177408436e-15im
0.1,0.41,16,4,-2.1402921390191056,0.5998484649452047,0.5998484649429161,0.04789885753303328 + 3.029790209701605e-14im,0.9989393156037452 - 8.485729421874359e-16im
0.1,0.42,16,4,-2.152150185049271,0.5811199899124283,0.5811199899108074,0.047344359293398856 - 1.5860477947081835e-14im,0.9989557237345941 - 2.0955073820818468e-16im
0.1,0.43,16,4,-2.1644375427752305,0.5642082798628884,0.5642082798623876,0.04686532780513748 + 5.958201798410032e-16im,0.9989699505511664 + 1.1739434127342695e-15im
0.1,0.44,16,4,-2.177118817400803,0.5488472797735007,0.5488472797729275,0.04640963782905787 - 1.5513904786802111e-15im,0.9989840683651036 + 5.465764079366906e-16im
0.1,0.45,16,4,-2.1901670258460384,0.5162185286612511,0.5162185286610461,0.0460178276509435 + 3.416773903687461e-14im,0.9989966181530012 - 5.952136662058812e-16im
0.1,0.4,16,4,-2.1289037792438754,0.6475805513051288,0.6475805515510323,0.04844489458999664 - 1.459497498980696e-14im,0.9989245199488911 + 7.480572442241227e-17im
0.25,0.1,16,4,-2.0381587702933777,0.41485249252284834,0.41485249252282275,0.20230982884696466 + 1.078254650693628e-15im,-0.98998970071328 + 1.8713669536641334e-16im
0.25,0.1,16,6,-2.0384065722641345,0.6453169820197895,0.6453169820344401,0.26190225848733323 + 7.348405536857073e-17im,-0.9894736546344091 - 1.0204682929871399e-15im
0.26,0.1,16,4,-2.041060451193268,0.4146476886778416,0.414647688677802,0.21551987369315462 - 8.724091134434478e-16im,-0.9889127731093162 + 3.757069874299852e-16im
0.26,0.1,16,6,-2.0413684235628025,0.6527542754484245,0.6527542754434232,0.28168442119629145 - 4.282585078551308e-16im,-0.9882337321320609 + 1.5163036332856794e-15im
0.27,0.1,16,4,-2.044117116506921,0.4062412610624082,0.4062412610623557,0.22944326419312008 - 1.5199452902546106e-15im,-0.9877339475436155 - 1.8542615663563886e-16im
0.27,0.1,16,6,-2.044487660039893,0.6537829667207717,0.6537829667040815,0.2934328197728423 - 1.1205092706083534e-16im,-0.9869761332664319 - 6.550143577617888e-16im
0.28,0.1,16,4,-2.0473275582928445,0.4059996015282746,0.40599960152825715,0.2440122340054478 + 1.3307083084078677e-15im,-0.9864534372821177 - 6.210062272616048e-17im
0.28,0.1,16,6,-2.0478082748126747,0.6863533909020608,0.6863533909058245,0.3278195640220694 - 4.875774612371648e-16im,-0.9852670369599112 + 4.1615631698686616e-16im
0.29,0.1,16,4,-2.0507028846229853,0.4054976171658936,0.4054976171659024,0.25948161147253 - 1.6384459795476904e-15im,-0.9850406909567221 + 6.238283458055836e-16im
0.29,0.1,16,6,-2.0512975115791816,0.6959413133699931,0.6959413133725963,0.35078505540166716 + 6.054774145849773e-16im,-0.9834924304482948 - 2.834191334652862e-16im
0.31,0.1,16,4,-2.0579795598247523,0.40472652311039276,0.40472652311038076,0.2933839627734494 + 2.4621134556927493e-16im,-0.9817618939066555 - 6.953386899959459e-16im
0.31,0.1,16,6,-2.058893541683784,0.7233298115758541,0.7233298115766789,0.42161252398290294 + 1.624090688689932e-16im,-0.979099398227002 + 7.546022289816094e-16im
0.32,0.1,16,4,-2.061900568982972,0.4204593382121835,0.420459338209727,0.3191537983892064 + 4.824508730457013e-15im,-0.979846769085293 - 0.0im
0.33,0.1,16,4,-2.066026202001824,0.4435681128086549,0.4435681128122178,0.33979174971989884 - 1.9894473255507863e-14im,-0.9777004386189955 + 4.70140880916474e-16im
0.34,0.1,16,4,-2.070370380556464,0.46971358915682554,0.4697135891539408,0.36205438491643077 - 2.3397577560279958e-15im,-0.9752808097611868 + 6.814993771715092e-17im
0.35,0.1,16,4,-2.0749513607500853,0.49992118031637733,0.4999211803227155,0.38634072673183767 - 2.3639859889273045e-15im,-0.972519511381118 + 6.914210946200484e-16im
0.36,0.1,16,4,-2.079790021728214,0.5353648513554057,0.5353648513472624,0.41301878937806424 + 5.223323420361146e-15im,-0.9693348819947053 - 1.409755065083732e-16im
0.37,0.1,16,4,-2.084914795466917,0.5782351027601117,0.5782351027646423,0.4428112984005638 + 7.374193220986129e-16im,-0.9655874243674826 + 1.3706661882682112e-15im
0.38,0.1,16,4,-2.0903613927247653,0.6319674492545488,0.6319674492375279,0.4767337812915284 - 1.0725729002816455e-15im,-0.9610725312866741 + 1.2614906210533033e-15im
0.39,0.1,16,4,-2.096181148961184,0.7028835647116477,0.7028835647228213,0.5163788094478872 + 1.0076273062171631e-15im,-0.9554292965920358 + 6.917553793251514e-16im
0.3,0.1,16,4,-2.054250314727185,0.4052140932178703,0.4052140932178162,0.27587526339911245 + 2.0522637303639663e-15im,-0.9834848657315415 - 1.2551076831850514e-16im
0.3,0.1,16,6,-2.0549865320978835,0.7080676638553169,0.7080676638589172,0.3752820887354722 + 3.9137462554727003e-16im,-0.9814781659265505 - 4.975265008184775e-16im
