D,chi,hx,hz
4,24,0.25,0.2
4,24,0.3,0.2
4,24,0.35,0.2
4,24,0.4,0.2
4,24,0.45,0.2
4,24,0.2,0.25
4,24,0.2,0.3
4,24,0.2,0.35
4,24,0.2,0.4
4,24,0.2,0.45
4,24,0.25,0.25
4,24,0.3,0.25
4,24,0.35,0.25
4,24,0.4,0.25
4,24,0.45,0.25
4,24,0.25,0.3
4,24,0.3,0.3
4,24,0.35,0.3
4,24,0.4,0.3
4,24,0.45,0.3
4,24,0.25,0.35
4,24,0.3,0.35
4,24,0.35,0.35
4,24,0.4,0.35
4,24,0.45,0.35
4,24,0.25,0.4
4,24,0.3,0.4
4,24,0.35,0.4
4,24,0.4,0.4
4,24,0.45,0.4
4,24,0.25,0.45
4,24,0.3,0.45
4,24,0.35,0.45
4,24,0.4,0.45
4,24,0.45,0.45
4,24,0.25,0.45
4,24,0.26,0.44
4,24,0.27,0.43
4,24,0.28,0.42
4,24,0.29,0.41
4,24,0.3,0.4
4,24,0.31,0.39
4,24,0.32,0.38
4,24,0.33,0.37
4,24,0.34,0.36
4,24,0.35,0.35
4,24,0.36,0.34
4,24,0.37,0.33
4,24,0.38,0.32
4,24,0.39,0.31
4,24,0.4,0.3
4,24,0.41,0.29
4,24,0.42,0.28
4,24,0.43,0.27
4,24,0.44,0.26
4,24,0.45,0.25
4,24,0.5,0.65
4,24,0.51,0.64
4,24,0.52,0.63
4,24,0.53,0.62
4,24,0.54,0.61
4,24,0.55,0.6
4,24,0.56,0.59
4,24,0.57,0.58
4,24,0.58,0.57
4,24,0.59,0.56
4,24,0.6,0.55
6,36,0.25,0.2
6,36,0.3,0.2
6,36,0.35,0.2
6,36,0.4,0.2
6,36,0.45,0.2
6,36,0.2,0.25
6,36,0.2,0.3
6,36,0.2,0.35
6,36,0.2,0.4
6,36,0.2,0.45
6,36,0.25,0.25
6,36,0.3,0.25
6,36,0.35,0.25
6,36,0.4,0.25
6,36,0.45,0.25
6,36,0.25,0.3
6,36,0.3,0.3
6,36,0.35,0.3
6,36,0.4,0.3
6,36,0.45,0.3
6,36,0.25,0.35
6,36,0.3,0.35
6,36,0.35,0.35
6,36,0.4,0.35
6,36,0.45,0.35
6,36,0.25,0.4
6,36,0.3,0.4
6,36,0.35,0.4
6,36,0.4,0.4
6,36,0.45,0.4
6,36,0.25,0.45
6,36,0.3,0.45
6,36,0.35,0.45
6,36,0.4,0.45
6,36,0.45,0.45
6,36,0.25,0.45
6,36,0.26,0.44
6,36,0.27,0.43
6,36,0.28,0.42
6,36,0.29,0.41
6,36,0.3,0.4
6,36,0.31,0.39
6,36,0.32,0.38
6,36,0.33,0.37
6,36,0.34,0.36
6,36,0.35,0.35
6,36,0.36,0.34
6,36,0.37,0.33
6,36,0.38,0.32
6,36,0.39,0.31
6,36,0.4,0.3
6,36,0.41,0.29
6,36,0.42,0.28
6,36,0.43,0.27
6,36,0.44,0.26
6,36,0.45,0.25
6,36,0.5,0.65
6,36,0.51,0.64
6,36,0.52,0.63
6,36,0.53,0.62
6,36,0.54,0.61
6,36,0.55,0.6
6,36,0.56,0.59
6,36,0.57,0.58
6,36,0.58,0.57
6,36,0.59,0.56
6,36,0.6,0.55
