 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 …indexmanipulations.jl   396 add_permute!
     1         0 …s/treetransformers.jl   117 treepermuter
     1         0 …s/treetransformers.jl   123 _get_treepermuter(A::Type, key::T…
     1         1 …Cache/src/LRUCache.jl     ? get!(default::TensorKit.var"#208#…
     1         1 @Base/locks-mt.jl         41 lock(l::Base.Threads.SpinLock)
     1         1 @Base/partr.jl           127 multiq_deletemin()
     1         1 @Base/task.jl              ? trypoptask(W::Base.IntrusiveLinke…
     1         0 …s/ctmrg/sequential.jl    63 ctmrg_iteration
     1         0 …initesquarenetwork.jl   146 rrule
     1         0 …initesquarenetwork.jl   101 rotl90(n::InfiniteSquareNetwork{T…
     1         0 @Base/broadcast.jl       872 materialize
     1         0 @Base/broadcast.jl       897 copy
     1         0 @Base/broadcast.jl       925 copyto!
     1         0 @Base/broadcast.jl       972 copyto!
     1         0 @Base/broadcast.jl       973 macro expansion
     1         0 @Base/broadcast.jl       610 getindex
     1         0 @Base/broadcast.jl       651 _broadcast_getindex
     1         0 @Base/broadcast.jl       678 _broadcast_getindex_evalf
     1         0 …rks/local_sandwich.jl    38 _rotl90_localsandwich
     1         0 …c/networks/tensors.jl    25 rotl90
     1         0 …ors/abstracttensor.jl   406 similar
     1         0 …ors/abstracttensor.jl   426 similar
     1         0 …src/tensors/tensor.jl    19 TensorMap
     1         0 …rc/spaces/homspace.jl   251 fusionblockstructure
     1         0 …rc/spaces/homspace.jl   352 fusionblockstructure(W::TensorMap…
     1         0 …Cache/src/LRUCache.jl   162 get!(default::TensorKit.var"#150#…
     1         0 …Cache/src/LRUCache.jl   110 _unsafe_haskey
     1         0 @Base/dict.jl            548 haskey
     1         1 @Base/dict.jl            249 ht_keyindex(h::Dict{Any, Tuple{An…
     1         0 @Base/operators.jl       277 !=
     1         0 @Base/promotion.jl       483 ==
     1         1 …lection/reflection.jl    51 meta(T::Any; types::Any, world::A…
     1         1 …lection/reflection.jl    72 meta(T::Any; types::Any, world::A…
     1         0 @Base/abstractarray.jl  1081 copyto_unaliased!(deststyle::Inde…
     1         0 @Base/partr.jl           137 multiq_deletemin()
     1         0 …ided/src/mapreduce.jl   146 _mapreduce_block!(f::TensorOperat…
     1         0 …ided/src/mapreduce.jl   474 _computeblocks
     1         0 …ided/src/mapreduce.jl   474 _computeblocks(dims::NTuple{4, In…
     1         0 …ided/src/mapreduce.jl   510 totalmemoryregion(dims::NTuple{4,…
     1         1 …Algebra/src/bidiag.jl   435 _mul!
     1         1 @Base/boot.jl            271 Expr(::Any, ::Vararg{Any})
     1         0 @Base/meta.jl            330 partially_inline!
     1         1 @Base/meta.jl            344 _partially_inline!
     1         0 …4/src/GLib/signals.jl   267 g_yield(data::UInt64)
     1         0 …tk4/src/GLib/gtype.jl   378 run_delayed_finalizers()
     1         0 @Base/set.jl              90 isempty
     1         1 …src/tensors/tensor.jl     ? mul!(tC::TensorMap{ComplexF64, Gr…
     1         0 @Base/partr.jl           144 multiq_deletemin()
     1         1 @Base/int.jl             513 <
