hx,hz,chi,D,E,ξv,ξh,infinite_tHooft,infinite_Wilson
0.1,0.1,36,4,-2.0100718436350777,7.505999378950821e14,2.4343781769570197e14,0.05954918512778341 + 2.0320813077858254e-10im,-0.9987040832683197 + 3.1652906472484523e-16im
0.1,0.2,36,4,-2.0258409848388244,6.92861481133922e14,1.501199875790165e15,0.059040532604084935 + 3.828995869527682e-11im,-0.9987160672824763 - 0.0im
0.1,0.2,48,4,-2.0201677007424044,7.111420344778048,7.1114204526577,0.9960936967133376 - 6.098048113408832e-16im,0.9442546630848563 - 2.360035393684897e-15im
0.1,0.32,36,4,-2.0631424292464926,1.5386375901980471,1.5386375900541673,0.05705031586787601 - 4.574083827156895e-12im,0.9987521528341156 - 7.821035297706894e-16im
0.1,0.33,36,4,-2.067615914441723,1.806763386770295,1.8067633867197115,0.055969381957122144 + 2.577106291121088e-12im,0.9987586720641519 - 6.435471491958681e-16im
0.1,0.34,36,4,-2.07386662438678,1.1003677161688528,1.100367716224677,0.05418691576034679 + 2.827684536530313e-11im,0.9988030845382362 + 5.652890579702914e-17im
0.1,0.3,36,4,-2.05013938665945,0.5683420103516008,0.5654625803094719,0.06280501353687376 - 1.5304933861691425e-14im,-0.9984138689985134 + 1.7398109320965787e-17im
0.1,1.0,36,4,-3.1290667316154503,3.105930777496889e14,2.2517998136852475e15,0.03466165344249172 - 5.029248780257787e-15im,0.999403593459186 + 2.050135250237718e-16im
0.25,0.1,48,4,-2.0381777054782306,2.2517998136852475e15,8.188362958855442e14,0.20635888654845005 - 4.1747515709190865e-12im,-0.9899872883593627 - 1.0318489866499994e-15im
0.25,0.2,48,4,-2.053793223256454,4.74063118670578e14,-Inf,0.20400634736728096 - 1.9722677427492294e-13im,0.9900941108313722 - 5.448458370392533e-17im
0.25,0.31,48,4,-2.0864571639538103,1.3230872114099899,1.323087210907647,0.1969181918800477 - 2.937151729630572e-11im,0.9904094712819339 - 1.2021671823406126e-16im
0.25,0.325,48,4,-2.092713051519914,1.5829591140189212,1.5829591144898627,0.19486026103057094 - 2.3296638428191573e-11im,-0.9904917424874362 - 2.3929468398368392e-15im
0.25,0.32,48,4,-2.090560201727982,1.4800815917437526,1.4800815919391432,0.19566674760941102 - 6.937986816797369e-12im,0.9904597556081051 - 1.7537371623396326e-15im
0.25,0.335,48,4,-2.0972507412767216,19279.32073386963,18139.794286407367,0.18985829254487177 - 6.4700189033084885e-15im,-0.990574478248837 + 1.938441888868265e-15im
0.25,0.33,48,4,-2.0949991295461263,1.4765313435505663,1.4765313436071703,0.19152555788301254 - 1.9366314482024453e-12im,0.9906213762491629 + 3.8112878839602723e-16im
0.25,0.34,48,4,-2.1006257423963017,1.1718575241717641,1.1718575228549408,0.1824736258210718 + 1.0779004710207888e-11im,0.9909477749546066 + 7.136144672576604e-16im
0.25,0.35,48,4,-2.107445591034997,1.501199875790165e15,2.2517998136852475e15,0.17512215812499088 + 5.783641066644202e-12im,0.9912146504584364 - 4.148829331200509e-16im
0.25,0.37,48,4,-2.1194812699399557,8.762719383924364e11,1.6391627397157861e12,0.1619172787095787 + 3.4180059596563284e-15im,-0.991472973587432 - 2.42908342551657e-16im
0.25,0.39,48,4,-2.143367027149073,5.629499534213115e14,1.1258999068426235e15,0.15471723266908854 - 2.438103363479932e-12im,0.9920378300844842 + 7.063304276143041e-16im
0.25,0.3,48,4,-2.0825860944484784,1.194960455192369,1.1949604565217142,0.19802196480342774 - 2.38631319979191e-12im,-0.9903590864645447 + 5.184308464423953e-17im
0.2,0.1,36,4,-2.0257692183594265,3.216856876693206e14,2.2517998136852475e15,0.1472846271930324 - 2.1572234581582617e-11im,0.9941870382412459 - 2.754269369951169e-16im
0.2,0.2,36,4,-2.041452120459577,1.1258999068426235e15,3.216856876693206e14,0.14570921383951402 - 1.9264306263222776e-10im,-0.9942426533410369 + 5.757230555477263e-16im
0.2,0.32,36,4,-2.0784712060543002,1.4954869361749301,1.4954869362082164,0.13815764692072258 + 2.55683353034837e-13im,0.9944293600640597 + 4.257623567828422e-17im
0.2,0.335,48,4,-2.0857649320086367,1.2492017713954353,1.2492017707789735,0.13273104881574746 + 1.5358286568997447e-11im,0.9946178419327619 - 2.3854544804824825e-16im
0.2,0.33,36,4,-2.08289892803501,1.75097244791518,1.750972448002854,0.13708017862068922 - 6.531853223392899e-13im,-0.9944693286415669 + 9.860532602837492e-16im
0.2,0.34,36,4,-2.0876736968808647,2.1607351384027433,2.1607351383795024,0.13576653829276789 + 5.325126031069128e-14im,0.9945140424992289 + 2.3350412186272917e-16im
0.2,0.35,48,4,-2.0958338169561004,4.503599627370496e15,3.602879701896392e14,0.12611482312588343 + 1.0680271468659733e-14im,0.994823703854718 + 5.980754993392652e-16im
0.2,0.37,48,4,-2.1125806350806915,1.501199875790165e15,2.2517998136852475e15,0.11859165663580029 + 2.486126639409984e-13im,0.9950565838276424 - 3.0436518612169886e-16im
0.2,0.38,48,4,-2.12210734515395,3.752999689475408e14,1.501199875790165e15,0.1158133641403781 + 2.4758647240236247e-13im,0.9951513545173709 + 4.410879752688925e-16im
0.2,0.39,48,4,-2.1245245295861714,3.37525266234267e11,9.199468138837806e11,-0.12902845064589924 - 1.2549002462089582e-16im,-0.9943383846509938 + 3.020362710584838e-15im
0.2,0.3,36,4,-2.070434786934235,1.2068922070487955,1.2068922070029846,0.13957442147300184 + 5.686846327541117e-13im,-0.9943794225121655 - 1.044188398363747e-15im
0.2,0.3,48,4,-2.070438709723868,1.2136143296816024,1.2136143328637266,0.1417001209330289 - 8.983710549655798e-11im,-0.994378271245012 + 8.225936187263346e-16im
0.2,0.5,36,4,-2.273016344328169,1.501199875790165e15,2.0946975011025516e14,-0.09579732881061767 - 3.2322548828172794e-15im,0.9959994713645598 + 4.897774140280186e-16im
0.2,0.5,48,4,-2.2730921064504837,6.433713753386418e14,1.501199875790165e15,0.09604559250693921 - 2.4128398412572826e-14im,0.9959997798883258 + 4.2616134500250706e-16im
0.2,0.6,48,4,-2.4279719359663545,144.20639675335522,137.70545390413085,0.08789619965228318 - 1.7044509890726383e-15im,0.9964929477898982 - 1.5031291859728238e-15im
0.2,0.7,48,4,-2.5962182168844885,208.8693952424029,13518.052768282616,0.08199026425461277 + 6.833705048743814e-14im,0.9968399456863006 + 6.001631167852039e-16im
0.2,0.8,48,4,-2.772547922751569,2.2517998136852475e15,2.501999792983604e14,0.07733344475167946 - 3.7695040371670607e-14im,0.9971123953521349 - 3.364455009547106e-16im
0.2,0.9,48,4,-2.954138501823853,4.094181479427718e14,3.00239975158033e15,0.07376628939909084 + 4.5700997214111774e-15im,0.997354797008902 - 3.308625292208125e-16im
0.2,1.0,36,4,-3.139480361788364,1.501199875790165e15,9.007199254740988e14,0.0705493118841683 + 3.7039309309616136e-15im,0.9975638431326158 + 2.706570724625007e-16im
0.2,1.0,48,4,-3.1394728333249122,5.003999585967213e14,1.501199875790165e15,0.07043489670207521 + 3.555004488563215e-15im,0.9975632387257058 - 2.836805615205575e-16im
0.325,0.1,48,4,-2.063944116201519,5.003999585967213e14,1.501199875790165e15,0.332725493318957 + 1.2116952998012803e-11im,0.9788094875880801 - 4.2909831331053083e-16im
0.325,0.25,48,4,-2.08700445756229,7.473135594267547,7.47313559634867,0.990522604362082 - 1.8500684360899297e-15im,0.9041723290150361 + 2.381028837258526e-16im
0.325,0.2,48,4,-2.079377490298722,3.3359997239781406e14,6.433713753386418e14,0.32830516687619127 - 1.5346495619986975e-11im,0.9790977122336932 + 5.6393483564903e-16im
0.325,0.31,48,4,-2.111503620488961,1.2626812298239032,1.2626812298545464,0.31242439270772326 - 2.1663470676619627e-12im,-0.9799546505244907 - 4.139878340343928e-16im
0.325,0.325,48,4,-2.1176112778571947,1.4951124275077563,1.4951124275158856,0.3087697793498277 - 1.1511286046904672e-12im,0.980190614095151 + 4.243763470988654e-16im
0.325,0.32,48,4,-2.1155074718118367,1.4039083103735255,1.4039083103796262,0.31013672926951824 + 2.3490340249177374e-13im,0.9801003271586761 - 3.031099942079176e-16im
0.325,0.33,48,4,-2.1158762292998645,0.8844321409740898,0.8844321409751843,0.972650966207374 - 4.096866062027041e-17im,0.4350170157393072 + 8.766768977803994e-14im
0.325,0.34,48,4,-2.109192348574506,5.81529519466094,5.8152951913876585,0.9824012577954679 + 1.7167784957345405e-15im,0.882262370378081 - 3.0395907139764266e-15im
0.325,0.38,48,4,-2.1560419062724048,9.007199254740992e15,5.003999585967213e14,0.24443322909052892 - 2.8880431518877906e-13im,0.9838189846281551 - 2.575925184831055e-17im
0.325,0.39,48,4,-2.165794717175318,4.28914250225761e14,2.501999792983604e14,0.23620355135883192 + 5.4998853133813204e-14im,0.9843038866995889 - 9.460857124724027e-17im
0.325,0.5,48,4,-2.3033127425030755,1.1258999068426235e15,2.2517998136852475e15,0.18387317556212832 + 3.755150074065802e-14im,0.987743744298773 + 7.216624449321114e-16im
0.325,0.6,48,4,-2.4561807012133703,4.503599627370496e15,2.2517998136852475e15,0.16035884714494278 - 2.1468592792341502e-14im,0.9895638497637952 - 7.098689915953167e-16im
0.325,0.7,48,4,-2.6228154233445085,1.501199875790165e15,1.8014398509481978e15,0.14536316300712457 - 3.0981340102982854e-15im,0.9908484396511196 + 3.1082071633407005e-16im
0.325,0.8,48,4,-2.797790690823068,2.9055481466906375e14,6.92861481133922e14,0.13449265840147204 - 1.2462587572144287e-14im,0.9918240978586261 - 2.763267456949605e-16im
0.325,0.9,48,4,-2.978289132264604,1.8014398509481978e15,1.8014398509481978e15,0.12650306864903607 - 1.0480659184849208e-14im,0.992606876886744 - 4.951370247559305e-17im
0.325,1.0,48,4,-3.162551835748803,2.3703155933528878e14,4.503599627370491e14,0.11944993110970588 + 6.408922063917838e-15im,0.9932525300560018 - 5.932868115272971e-16im
0.32,0.1,36,4,-2.061914489038328,4.503599627370496e15,2.0015998343868822e14,0.32253618911082244 + 5.596421212547646e-11im,-0.9798467929967777 - 2.178130737343186e-16im
0.32,0.2,36,4,-2.077356480434359,0.6287508484587135,0.6287508484604061,0.3183616972260561 - 4.031606592271066e-12im,-0.9801085860441642 - 1.3221783738020145e-15im
0.32,0.32,36,4,-2.113547099815478,1.410608716806836,1.410608716813708,0.30071032878776 - 2.440989040809776e-13im,0.9810552711528395 + 1.0573972657002122e-15im
