hx,hz,chi,D,E,infinite_tHooft,infinite_Wilson,infinite_Wilson_odd,FMstring,PKstring_odd
0.0,0.25,16,4,-2.0334361114446504,-0.0018847403655883781 - 1.6003536017692736e-15im,-0.999999862770903 - 6.832320285436009e-17im,NaN + NaN*im,0.012916988187650724,0.028809565325899688
0.0,0.25,24,4,-2.033430442809458,-0.0018064848181280977 - 1.88357597845463e-13im,-0.999999632301453 - 6.688209243616775e-16im,NaN + NaN*im,0.034994129081739635,0.001956402790837089
0.0,0.25,36,4,-2.0334301902360163,-0.003655948193634464 + 1.623413490799084e-12im,-0.9999990661412173 - 5.897153933214247e-16im,NaN + NaN*im,3.229153813206575e-11,0.009581550071985918
0.0,0.26,16,4,-2.0364033776904757,0.0006157491505911184 - 1.920371243471716e-15im,-0.999999900492449 + 2.1398646652642684e-16im,NaN + NaN*im,0.13318289461188096,0.027077997030508172
0.0,0.26,24,4,-2.0364039054994123,0.0010379010201721206 + 4.655043485343524e-13im,0.9999998875271277 - 2.912206165989126e-16im,NaN + NaN*im,0.017999577565246908,0.013059712294774676
0.0,0.26,36,4,-2.036407380927044,-0.0011198823341938137 + 3.1056265737104796e-12im,0.9999998883067857 + 2.128596929673882e-16im,NaN + NaN*im,0.004361616421622134,0.0056551651496414565
0.0,0.27,16,4,-2.039531375650502,0.004835554508368621 + 1.500316865420625e-14im,-0.9999983677891479 + 9.150566492266885e-16im,NaN + NaN*im,0.014875188344423288,0.005818613107720979
0.0,0.27,24,4,-2.0395417601126162,0.0017349105348460818 + 2.1117667362140394e-14im,0.9999998081396952 + 4.660077037260493e-16im,NaN + NaN*im,0.09018676023524427,0.009162131363718221
0.0,0.27,36,4,-2.039541066087147,0.0020218916590507992 + 5.551813204488093e-13im,0.9999996388517375 - 6.300493431278708e-16im,NaN + NaN*im,0.01956144663455074,0.008985283203752803
0.0,0.28,16,4,-2.0343101539148236,0.9863495576986532 - 4.923365189494703e-16im,0.909114114469715 - 8.940496758198793e-17im,NaN + NaN*im,8.83283681264832e-6,0.009668952791964707
0.0,0.28,24,4,-2.040908297416743,0.0002144799889662915 + 2.4348076849246696e-16im,0.9999999892439677 + 4.3124131226396083e-16im,NaN + NaN*im,0.21486852723775948,0.019338133978246103
0.0,0.28,36,4,-2.042857552436228,0.0017865723558420335 + 1.2649622847314283e-13im,-0.9999997765660944 + 9.579034873043513e-17im,NaN + NaN*im,0.018493918744328174,0.004967875827666551
0.0,0.29,16,4,-2.0463637999103446,-0.0013230046577207926 - 1.9410921829784962e-14im,0.9999998865593536 + 4.329460205773409e-17im,NaN + NaN*im,0.015221030602315196,0.020209263259078448
0.0,0.29,24,4,-2.046362502841292,-0.0022367021193332197 - 1.3263808172775161e-13im,0.9999998434499604 + 0.0im,NaN + NaN*im,0.043279618417847596,0.024173763175522455
0.0,0.31,16,4,-2.048435651729024,-0.04910390488037677 + 5.975118305257227e-16im,0.9996238509845223 + 1.5654026799869152e-15im,NaN + NaN*im,2.505862643845742e-13,0.03215246937813075
0.0,0.31,24,4,-2.0540145186191046,-0.0012066541865309842 + 5.3877704206190226e-14im,-0.9999999191634393 + 2.4768098236459192e-15im,NaN + NaN*im,0.03626183928725585,0.012766674398614702
0.0,0.31,36,4,-2.0540130731361543,-0.0009327490010407242 - 1.0403888909582871e-14im,-0.9999999148996932 - 2.0606813237125687e-16im,NaN + NaN*im,0.21869856257441958,0.007406282222361152
0.0,0.32,16,4,-2.0445525667755846,0.982306274741073 - 0.0im,0.903113802778291 + 7.895918301470677e-16im,NaN + NaN*im,4.419938287876782e-6,0.027396427115340093
0.0,0.32,24,4,-2.0582090926993377,-0.0010014426391886076 - 2.325204327673762e-15im,-0.9999998751519222 + 9.90054224985744e-17im,NaN + NaN*im,0.0791120378723385,0.012983756558925676
0.0,0.32,36,4,-2.045059317061812,0.9831306766543728 + 1.0515000974710133e-15im,0.9350898619913698 - 7.867788165465684e-16im,NaN + NaN*im,1.016668608562082e-5,0.006027694551302472
0.0,0.33,16,4,-2.0626985480639384,0.0022967100458332053 + 2.556848834991258e-16im,0.9999996208494751 - 4.784026465299357e-16im,NaN + NaN*im,0.048686816990145224,0.03475408631719885
