hx,hz,chi,D,E,ξv,ξh,infinite_tHooft,infinite_Wilson
0.1,0.1,36,4,-2.0100718436350777,2.814749767106555e14,9.007199254740992e15,0.05954918512778332 + 2.0320817255149007e-10im,-0.998704083268318 - 7.913226618121138e-16im
0.1,0.2,36,4,-2.0258409848388244,3.464307405669607e14,4.503599627370496e15,0.05904053260408497 + 3.828994115559099e-11im,-0.9987160672824735 + 7.131961906494129e-16im
0.1,0.2,48,4,-2.0201677007424044,7.111420344145879,7.1114204525671045,0.9960936967133395 - 1.8848512350536505e-15im,0.9442546630848582 - 1.7481743656925106e-16im
0.1,0.32,36,4,-2.0631424292464926,1.5386375901930394,1.5386375900620513,0.05705031586787661 - 4.574162813650891e-12im,0.9987521528341143 + 4.977022462177099e-16im
0.1,0.33,36,4,-2.067615914441723,1.806763386750659,1.8067633867124493,0.055969381957122324 + 2.5770790339999286e-12im,0.9987586720641484 - 8.775642943579991e-16im
0.1,0.34,36,4,-2.07386662438678,1.100367716168838,1.10036771622467,0.05418691576034671 + 2.8276820717869038e-11im,0.9988030845382347 + 7.3487577536137885e-16im
0.1,0.3,36,4,-2.05013938665945,0.5683420103516029,0.5654625803094728,0.06280501353687351 - 1.5345178654856976e-14im,-0.9984138689985144 - 1.9137920253062386e-16im
0.1,1.0,36,4,-3.1290667316154503,3.105930777496889e14,4.503599627370496e15,0.034661653442491606 - 5.005115281397931e-15im,0.9994035934591842 - 0.0im
0.25,0.1,48,4,-2.0381777054782306,2.2517998136852475e15,6.92861481133922e14,0.20635888654845 - 4.174420078313919e-12im,-0.9899872883593599 - 4.299370777708317e-16im
0.25,0.2,48,4,-2.053793223256454,1.3647271598092362e14,1.501199875790165e15,0.20400634736728013 - 1.974921414401903e-13im,0.9900941108313729 - 1.7435066785256105e-15im
0.25,0.31,48,4,-2.0864571639538103,1.3230872114093344,1.3230872109084157,0.19691819188004778 - 2.9371786214529235e-11im,0.9904094712819367 + 1.502708977925767e-15im
0.25,0.325,48,4,-2.092713051519914,1.582959114018897,1.582959114489874,0.1948602610305707 - 2.32965935301452e-11im,-0.9904917424874403 + 4.514994037428008e-17im
0.25,0.32,48,4,-2.090560201727982,1.4800815917505605,1.4800815919396442,0.19566674760941077 - 6.938092262312087e-12im,0.9904597556081107 - 4.0470857592453224e-16im
0.25,0.335,48,4,-2.0972507412767216,19279.320731393535,18139.79428564015,0.18985829254487363 - 6.302896643813449e-15im,-0.9905744782488345 + 1.1160726026817298e-15im
0.25,0.33,48,4,-2.0949991295461263,1.476531343559454,1.4765313436060983,0.19152555788301234 - 1.9364117680642534e-12im,0.9906213762491655 - 4.764109854950333e-17im
0.25,0.34,48,4,-2.1006257423963017,1.171857524175869,1.1718575228498436,0.18247362582107218 + 1.0779195462380787e-11im,0.9909477749546088 + 2.378714890858871e-16im
0.25,0.35,48,4,-2.107445591034997,1.1258999068426235e15,9.007199254740988e14,0.17512215812499105 + 5.783885600306213e-12im,0.9912146504584375 + 1.3829431104001722e-16im
0.25,0.37,48,4,-2.1194812699399557,2.267102757296503e12,1.0684696624840535e13,-0.16191727870957912 - 3.3450236259981857e-15im,0.9914729735874314 + 5.991739116274206e-15im
0.25,0.39,48,4,-2.143367027149073,1.000799917193443e15,6.433713753386418e14,0.154717232669088 - 2.438193029772932e-12im,0.9920378300844832 + 1.0464154483174858e-16im
0.25,0.3,48,4,-2.0825860944484784,1.1949604545725974,1.1949604573920236,0.1980219648034274 - 2.3862654732415545e-12im,-0.9903590864645432 + 4.147446771539152e-17im
0.2,0.1,36,4,-2.0257692183594265,4.503599627370496e15,8.188362958855442e14,0.14728462719303276 - 2.1572142186462015e-11im,0.9941870382412462 + 1.1017077479804665e-16im
